portid,1,2,3,4,5,6,7,8,9,10,11
JPOSA,55.8571428571429,55.8571428571429,55.8571428571429,55.8571428571429,55.8571428571429,55.8571428571429,55.8571428571429,55.8571428571429,55.8571428571429,55.8571428571429,55.8571428571429
JPSBS,26.9724770642202,26.9724770642202,26.9724770642202,26.9724770642202,26.9724770642202,26.9724770642202,26.9724770642202,26.9724770642202,26.9724770642202,26.9724770642202,26.9724770642202
JPTYO,69.1111111111112,69.1111111111112,69.1111111111112,69.1111111111112,69.1111111111112,32.4615384615385,32.4615384615385,32.4615384615385,32.4615384615385,32.4615384615385,32.4615384615385
JPUKB,37.2258064516129,37.2258064516129,37.2258064516129,37.2258064516129,32.1333333333333,48.7222222222222,48.7222222222222,48.7222222222222,48.7222222222222,48.7222222222222,48.7222222222222
JPYKK,25.714285714285715,25.714285714285715,25.714285714285715,25.714285714285715,25.714285714285715,25.714285714285715,25.714285714285715,25.714285714285715,25.714285714285715,25.714285714285715,25.714285714285715
JPYOK,57.7914110429447,57.7914110429447,57.7914110429447,57.7914110429447,72.77146862096109,92.3333333333332,80.13883649225643,60.5748502994012,62.375316647569385,63.7777777777778,63.7777777777778
KHKOS,36.3157894736842,36.3157894736842,36.3157894736842,36.3157894736842,36.3157894736842,36.3157894736842,36.3157894736842,36.3157894736842,36.3157894736842,36.3157894736842,36.3157894736842
KRICH,41.1645569620253,41.1645569620253,41.1645569620253,41.1645569620253,41.1645569620253,41.1645569620253,41.1645569620253,41.1645569620253,41.1645569620253,41.1645569620253,41.1645569620253
KRKAN,27.3118279569892,27.3118279569892,27.3118279569892,33.7864077669903,39.939072491535505,47.973594010248846,56.85500925191646,56.85500925191646,56.85500925191646,56.85500925191646,56.85500925191646
KRPUS,50.3131115459883,50.3131115459883,50.3131115459883,73.2941176470588,75.82810024028687,79.13712788681462,82.79494976289287,67.76746887625555,86.86235558575984,49.8819561551434,108.4260430720967
MMRGN,19.090909090909093,19.090909090909093,19.090909090909093,27.08333333333333,27.08333333333333,27.08333333333333,27.08333333333333,27.08333333333333,27.08333333333333,27.08333333333333,27.08333333333333
MYPEN,59.3123209169055,59.3123209169055,59.3123209169055,59.3123209169055,59.3123209169055,59.3123209169055,59.3123209169055,59.3123209169055,59.3123209169055,59.3123209169055,59.3123209169055
MYPKG,53.5323383084577,53.5323383084577,53.5323383084577,56.03414635397036,51.1470693127342,68.40825523349031,75.11770901323194,84.35526929066044,97.82227189909746,108.312302839117,108.312302839117
PHBTG,30.76923076923077,30.76923076923077,30.76923076923077,30.76923076923077,30.76923076923077,30.76923076923077,30.76923076923077,30.76923076923077,30.76923076923077,30.76923076923077,30.76923076923077
PHCEB,52.9756097560976,52.9756097560976,52.9756097560976,41.8461538461538,41.8461538461538,41.8461538461538,41.8461538461538,41.8461538461538,41.8461538461538,41.8461538461538,41.8461538461538
PHCGY,31.0805084745763,31.0805084745763,31.0805084745763,42.0695364238411,42.0695364238411,42.0695364238411,42.0695364238411,42.0695364238411,42.0695364238411,42.0695364238411,42.0695364238411
PHDVO,24.553415061296,24.553415061296,24.553415061296,27.694279277598344,32.4181729360039,32.4181729360039,32.4181729360039,32.4181729360039,32.4181729360039,32.4181729360039,32.4181729360039
PHGES,15.0373443983402,15.0373443983402,15.0373443983402,15.0373443983402,15.0373443983402,15.0373443983402,15.0373443983402,15.0373443983402,15.0373443983402,15.0373443983402,15.0373443983402
PHMNL,63.378721859114,63.378721859114,63.378721859114,63.378721859114,55.76113518933985,45.8136300417246,45.8136300417246,45.8136300417246,45.8136300417246,45.8136300417246,45.8136300417246
PHSFS,26.714285714285715,26.714285714285715,26.714285714285715,26.714285714285715,16.0,16.0,16.0,16.0,16.0,16.0,16.0
SGSIN,23.3379310344828,23.3379310344828,52.304201581234096,76.31146464397703,63.7924779108581,75.7824853028702,89.03632178225479,84.7817001635449,135.01155643062967,119.89558906488367,98.0020597322347
THBKK,24.753868828297747,24.753868828297747,24.753868828297747,24.753868828297747,24.753868828297747,24.753868828297747,24.753868828297747,24.753868828297747,24.753868828297747,24.753868828297747,24.753868828297747
THLCH,65.767145549395,65.767145549395,65.767145549395,65.767145549395,57.19615902487425,57.19615902487425,57.19615902487425,57.19615902487425,57.19615902487425,57.19615902487425,57.19615902487425
TWKEL,29.4803149606299,29.4803149606299,29.4803149606299,30.58221360087891,32.2394810407958,34.40364104372193,36.795918367347,36.795918367347,36.795918367347,36.795918367347,36.795918367347
TWKHH,48.2196339434276,48.2196339434276,48.2196339434276,57.70083603807385,71.96066625183867,90.58201453506743,111.166180758018,69.3212669683258,74.52786868763839,78.58351601436651,83.1799163179917
TWTXG,43.5114503816794,43.5114503816794,43.5114503816794,43.5114503816794,43.5114503816794,43.5114503816794,43.5114503816794,43.5114503816794,43.5114503816794,43.5114503816794,43.5114503816794
VNC8Q,34.13513513513515,34.13513513513515,34.13513513513515,34.13513513513515,34.13513513513515,34.13513513513515,34.13513513513515,34.13513513513515,34.13513513513515,34.13513513513515,34.13513513513515
VNDAD,52.32,52.32,52.32,52.32,52.32,52.32,52.32,52.32,52.32,52.32,52.32
VNHPH,68.382687927107,68.382687927107,68.382687927107,68.382687927107,68.382687927107,68.382687927107,68.382687927107,68.382687927107,68.382687927107,68.382687927107,68.382687927107
